Title,Year,IMDB Rating,Duration
1. The Shawshank Redemption,1994,9.3,2h 22m
2. The Godfather,1972,9.2,2h 55m
3. The Dark Knight,2008,9.0,2h 32m
4. The Godfather Part II,1974,9.0,3h 22m
5. 12 Angry Men,1957,9.0,1h 36m
6. Schindler's List,1993,9.0,3h 15m
7. The Lord of the Rings: The Return of the King,2003,9.0,3h 21m
8. Pulp Fiction,1994,8.9,2h 34m
9. The Lord of the Rings: The Fellowship of the Ring,2001,8.9,2h 58m
"10. Il buono, il brutto, il cattivo",1966,8.8,2h 41m
11. Dune: Part Two,2024,8.9,2h 46m
12. Forrest Gump,1994,8.8,2h 22m
13. The Lord of the Rings: The Two Towers,2002,8.8,2h 59m
14. Fight Club,1999,8.8,2h 19m
15. Inception,2010,8.8,2h 28m
16. Star Wars: Episode V - The Empire Strikes Back,1980,8.7,2h 4m
17. The Matrix,1999,8.7,2h 16m
18. Goodfellas,1990,8.7,2h 25m
19. One Flew Over the Cuckoo's Nest,1975,8.7,2h 13m
20. Se7en,1995,8.6,2h 7m
21. It's a Wonderful Life,1946,8.6,2h 10m
22. Interstellar,2014,8.7,2h 49m
23. Shichinin no samurai,1954,8.6,3h 27m
24. The Silence of the Lambs,1991,8.6,1h 58m
25. Saving Private Ryan,1998,8.6,2h 49m
26. Cidade de Deus,2002,8.6,2h 10m
27. La vita è bella,1997,8.6,1h 56m
28. The Green Mile,1999,8.6,3h 9m
29. Terminator 2: Judgment Day,1991,8.6,2h 17m
30. Star Wars,1977,8.6,2h 1m
31. Back to the Future,1985,8.5,1h 56m
32. Sen to Chihiro no kamikakushi,2001,8.6,2h 5m
33. The Pianist,2002,8.5,2h 30m
34. Spider-Man: Across the Spider-Verse,2023,8.6,2h 20m
35. Gisaengchung,2019,8.5,2h 12m
36. Psycho,1960,8.5,1h 49m
37. Gladiator,2000,8.5,2h 35m
38. The Lion King,1994,8.5,1h 28m
39. Léon,1994,8.5,1h 50m
40. The Departed,2006,8.5,2h 31m
41. American History X,1998,8.5,1h 59m
42. Whiplash,2014,8.5,1h 46m
43. The Prestige,2006,8.5,2h 10m
44. Hotaru no haka,1988,8.5,1h 29m
45. Seppuku,1962,8.6,2h 13m
46. The Usual Suspects,1995,8.5,1h 46m
47. Casablanca,1942,8.5,1h 42m
48. Intouchables,2011,8.5,1h 52m
49. Nuovo Cinema Paradiso,1988,8.5,2h 54m
50. Modern Times,1936,8.5,1h 27m
51. Rear Window,1954,8.5,1h 52m
52. C'era una volta il West,1968,8.5,2h 46m
53. Alien,1979,8.5,1h 57m
54. 12th Fail,2023,9.1,2h 27m
55. City Lights,1931,8.5,1h 27m
56. Apocalypse Now,1979,8.4,2h 27m
57. Django Unchained,2012,8.5,2h 45m
58. Memento,2000,8.4,1h 53m
59. WALL·E,2008,8.4,1h 38m
60. Raiders of the Lost Ark,1981,8.4,1h 55m
